ele@gmail.com~2026-08-24T14:01:30.645614543,Looking for guitarist for live night,Live night%2C search guitarist%0Aplease answer%0A%0APLEASE,2026-09-30T22:00,FILLED,mus@gmail.com,2026-08-24T14:01:30.645614543,ele@gmail.com,1000,USD,Via Mark Zuckerberg 100%2C Roma,NEGOTIABLE_SALARY;EXPERTS_ONLY
ele@gmail.com~2026-08-24T14:02:52.536508680,Searching drummer for tomorrow night,Searching a drummerrr%0Afaaar awaayyy,2026-08-25T19:00,FILLED,mus@gmail.com,2026-08-24T14:02:52.536508680,ele@gmail.com,350,EUR,Via Fratm 9%2C Napoli,URGENT
luca@gmail.com~2026-08-24T14:04:11.154833255,Sound Engineer for dj night,Dj Night in Milan allraaaaaaight%0A%0Asearching,2026-11-30T23:00,FILLED,mus@gmail.com,2026-08-24T14:04:11.154833255,luca@gmail.com,250,EUR,Magazzini%2C Milano,NEGOTIABLE_SALARY
ele@gmail.com~2026-08-26T21:55:52.396002447,Looking for a dj for a techno night,We need a DJ for a techno night live performance.%0A%0AThe DJ should be an absolute expert in his work.,2026-10-25T23:59,FILLED,mus@gmail.com,2026-08-26T21:55:52.396002447,ele@gmail.com,240,EUR,Via Viandante 12%2C Roma,EXPERTS_ONLY
promomario@gmail.com~2026-08-30T22:59:21.630410458,test annuncio,sto testandooo%0A%0Aa%0Aa%0Aa%0Aa%0Aa%0A%0A%0Aa%0Aaa%0A%0Aa%0A%0Aa,2026-09-09T22:00,FILLED,mastro@gmail.com,2026-08-30T22:59:21.630410458,promomario@gmail.com,300,USD,via a%2C 10,NEGOTIABLE_SALARY;URGENT
promomario@gmail.com~2026-08-30T23:00:59.909361839,qqqqq,ioioioio,2026-12-12T22:00,CLOSED,,2026-08-30T23:00:59.909361839,promomario@gmail.com,300,EUR,oooi,LONG_TIME_CONTRACT;URGENT
ele@gmail.com~2026-08-31T12:00:37.269181589,ciao!,ciao,2026-09-02T22:00,OPEN,,2026-08-31T12:00:37.269181589,ele@gmail.com,100,EUR,Viaaaa,LONG_TIME_CONTRACT
ele@gmail.com~2026-08-31T15:19:24.813917342,Looking for a skilled Guitar player,we need a guitar player for our live night.%0A%0Acontact us for more details.,2027-08-13T23:00,FILLED,lundini@gmail.com,2026-08-31T15:19:24.813917342,ele@gmail.com,200,EUR,Via Marco Polo 100B%2C Rome,EXPERTS_ONLY
luciamarroni@gmail.com~2026-08-31T15:23:19.670889164,Drummer for live night in Rome,We need a drummer for a live performance in Rome's auditorium,2026-09-27T19:00,FILLED,lundini@gmail.com,2026-08-31T15:23:19.670889164,luciamarroni@gmail.com,400,EUR,Auditorium Parco della Musica%2C Rome,URGENT;EXPERTS_ONLY
ele@gmail.com~2026-08-31T23:04:02.622507451,Cerco chitarrista sudato,voglio un chitarrista sudato per un live%0A%0Aastenersi perditempo,2026-09-11T22:22,FILLED,mus@gmail.com,2026-08-31T23:04:02.622507451,ele@gmail.com,1000,USD,Via del Torraccio di Torrenova 2d%2C Roma,URGENT;EXPERTS_ONLY
