mus@gmail.com,luca@gmail.com~2026-08-24T14:04:11.154833255,ACCEPTED,50
lundini@gmail.com,ele@gmail.com~2026-08-24T14:02:52.536508680,REJECTED,0
mus@gmail.com,ele@gmail.com~2026-08-24T14:02:52.536508680,ACCEPTED,50
mus@gmail.com,ele@gmail.com~2026-08-24T14:01:30.645614543,ACCEPTED,100
mastro@gmail.com,promomario@gmail.com~2026-08-30T22:59:21.630410458,ACCEPTED,0
mastro@gmail.com,promomario@gmail.com~2026-08-30T23:00:59.909361839,REJECTED,0
mus@gmail.com,ele@gmail.com~2026-08-26T21:55:52.396002447,ACCEPTED,150
lundini@gmail.com,ele@gmail.com~2026-08-31T15:19:24.813917342,ACCEPTED,50
lundini@gmail.com,luciamarroni@gmail.com~2026-08-31T15:23:19.670889164,ACCEPTED,50
mus@gmail.com,ele@gmail.com~2026-08-31T23:04:02.622507451,ACCEPTED,300
